year,country,People living with HIV (15-49): Male +Female,People living with HIV (15-49): Male,People living with HIV (15-49): Female,Population Aged 15-49:  Male+Female,Population Aged 15-49: Male,Population Aged 15-49: Female,Adult prevalence (15-49): Adults,Adult prevalence (15-49): Male,Adult prevalence (15-49): Female,Total number receiving ART (15-49) 
1986,Uganda,230750,111249,119501,6583944,3267716,3316228,3.5,3.4,3.6,0
1987,Uganda,300424,139138,161285,6838045,3394146,3443899,4.39,4.1,4.68,0
1988,Uganda,446683,199906,246776,7105477,3527522,3577955,6.29,5.67,6.9,0
1989,Uganda,639697,280375,359322,7378224,3663832,3714392,8.67,7.65,9.67,0
1990,Uganda,780553,338273,442280,7652419,3801190,3851229,10.2,8.9,11.48,0
1991,Uganda,843949,362599,481349,7925434,3938374,3987060,10.65,9.21,12.07,0
1992,Uganda,862661,367510,495151,8197960,4075823,4122137,10.52,9.02,12.01,0
1993,Uganda,862540,364344,498196,8471868,4214554,4257314,10.18,8.64,11.7,0
1994,Uganda,853605,357519,496086,8749329,4355690,4393640,9.76,8.21,11.29,0
1995,Uganda,840147,348979,491168,9032821,4500484,4532338,9.3,7.75,10.84,0
1996,Uganda,824736,339907,484829,9325921,4650725,4675197,8.84,7.31,10.37,0
1997,Uganda,808847,330976,477872,9629371,4806760,4822612,8.4,6.89,9.91,0
1998,Uganda,793972,322835,471138,9946161,4970048,4976114,7.98,6.5,9.47,0
1999,Uganda,781384,316028,465356,10279296,5142075,5137221,7.6,6.15,9.06,0
2000,Uganda,771861,310886,460976,10629918,5323345,5306573,7.26,5.84,8.69,4208
2001,Uganda,768554,308772,459782,11001984,5515789,5486196,6.99,5.6,8.38,8425
2002,Uganda,770777,309391,461386,11395211,5719189,5676023,6.76,5.41,8.13,12623
2003,Uganda,776972,312053,464919,11807953,5932501,5875453,6.58,5.26,7.91,16830
2004,Uganda,788906,317440,471467,12241634,6156005,6085630,6.44,5.16,7.75,42222
2005,Uganda,808071,326117,481953,12697356,6389929,6307427,6.36,5.1,7.64,69494
2006,Uganda,834611,338080,496531,13175603,6634576,6541028,6.33,5.1,7.59,88010
2007,Uganda,867872,352875,514996,13678048,6890604,6787444,6.34,5.12,7.59,118795
2008,Uganda,907494,370339,537155,14205375,7158397,7046978,6.39,5.17,7.62,153865
2009,Uganda,953674,390606,563067,14756371,7437568,7318804,6.46,5.25,7.69,196442
,,,,,,,,,,,
,,,,,,,,,,,
1985,United Republic of Tanzania,104633,47575,57058,9700855,4786533,4914322,1.08,0.9939,1.16,0
1986,United Republic of Tanzania,156278,69780,86499,10023543,4948102,5075441,1.56,1.41,1.7,0
1987,United Republic of Tanzania,227258,99911,127348,10356931,5115049,5241883,2.19,1.95,2.43,0
1988,United Republic of Tanzania,318966,138510,180456,10705098,5289440,5415658,2.98,2.62,3.33,0
1989,United Republic of Tanzania,428663,184244,244420,11072912,5473758,5599155,3.87,3.37,4.37,0
1990,United Republic of Tanzania,550983,234944,316039,11459642,5667698,5791944,4.81,4.15,5.46,0
1991,United Republic of Tanzania,677753,287089,390665,11865829,5871643,5994187,5.71,4.89,6.52,0
1992,United Republic of Tanzania,799191,336504,462686,12291208,6085536,6205673,6.5,5.53,7.46,0
1993,United Republic of Tanzania,906394,379689,526705,12722395,6302861,6419534,7.12,6.02,8.2,0
1994,United Republic of Tanzania,993188,414044,579145,13146291,6517231,6629061,7.55,6.35,8.74,0
1995,United Republic of Tanzania,1057892,438900,618993,13562129,6728346,6833784,7.8,6.52,9.06,0
1996,United Republic of Tanzania,1101908,454921,646988,13970241,6936464,7033777,7.89,6.56,9.2,0
1997,United Republic of Tanzania,1128142,463425,664717,14370951,7141735,7229216,7.85,6.49,9.19,0
1998,United Republic of Tanzania,1140892,466326,674567,14773244,7348557,7424688,7.72,6.35,9.09,0
1999,United Republic of Tanzania,1144354,465479,678874,15184710,7560508,7624203,7.54,6.16,8.9,0
2000,United Republic of Tanzania,1141742,462319,679423,15607273,7778399,7828875,7.32,5.94,8.68,0
2001,United Republic of Tanzania,1135943,458127,677816,16046100,8004725,8041375,7.08,5.72,8.43,0
2002,United Republic of Tanzania,1129066,453836,675229,16502503,8240099,8262405,6.84,5.51,8.17,0
2003,United Republic of Tanzania,1122485,450046,672439,16976312,8484406,8491906,6.61,5.3,7.92,0
2004,United Republic of Tanzania,1116981,447073,669908,17463522,8735537,8727985,6.4,5.12,7.68,2949
2005,United Republic of Tanzania,1113728,445373,668355,17960932,8991730,8969202,6.2,4.95,7.45,18543
2006,United Republic of Tanzania,1114020,445455,668564,18471258,9254209,9217048,6.03,4.81,7.25,41799
2007,United Republic of Tanzania,1117455,447073,670381,18995844,9523433,9472411,5.88,4.69,7.08,75357
2008,United Republic of Tanzania,1123879,450008,673871,19540872,9802042,9738830,5.75,4.59,6.92,141646
2009,United Republic of Tanzania,1133731,454492,679239,20110522,10092567,10017956,5.64,4.5,6.78,182860
,,,,,,,,,,,
,,,,,,,,,,,
1985,Zambia,160627,73520,87107,2989500,1488388,1501112,5.37,4.94,5.8,0
1986,Zambia,226190,102088,124101,3094862,1540615,1554247,7.31,6.63,7.98,0
1987,Zambia,289229,129023,160206,3201252,1593313,1607939,9.03,8.1,9.96,0
1988,Zambia,346577,153078,193500,3308008,1646213,1661795,10.48,9.3,11.64,0
1989,Zambia,399386,174777,224608,3413932,1698768,1715163,11.7,10.29,13.1,0
1990,Zambia,448206,194521,253685,3518953,1751030,1767923,12.74,11.11,14.35,0
1991,Zambia,492048,211918,280131,3623125,1803092,1820033,13.58,11.75,15.39,0
1992,Zambia,529594,226440,303154,3726573,1855058,1871514,14.21,12.21,16.2,0
1993,Zambia,560596,238137,322460,3831995,1908278,1923717,14.63,12.48,16.76,0
1994,Zambia,585643,247282,338361,3940489,1963275,1977215,14.86,12.6,17.11,0
1995,Zambia,605643,254298,351345,4051273,2019655,2031618,14.95,12.59,17.29,0
1996,Zambia,621898,259779,362119,4165099,2077800,2087299,14.93,12.5,17.35,0
1997,Zambia,635711,264320,371391,4282673,2138094,2144579,14.84,12.36,17.32,0
1998,Zambia,647602,268202,379399,4399971,2198646,2201325,14.72,12.2,17.24,0
1999,Zambia,657992,271662,386330,4513965,2258054,2255911,14.58,12.03,17.13,0
2000,Zambia,667636,275043,392593,4625412,2316701,2308710,14.43,11.87,17,0
2001,Zambia,677198,278637,398561,4735782,2375293,2360489,14.3,11.73,16.88,0
2002,Zambia,687007,282576,404431,4845289,2433852,2411436,14.18,11.61,16.77,0
2003,Zambia,697603,287066,410537,4956782,2493709,2463073,14.07,11.51,16.67,142
2004,Zambia,709745,292371,417373,5074903,2556935,2517968,13.99,11.43,16.58,15328
2005,Zambia,723315,298363,424952,5202768,2624747,2578021,13.9,11.37,16.48,51764
2006,Zambia,737544,304705,432839,5339803,2696898,2642904,13.81,11.3,16.38,78683
2007,Zambia,754143,311995,442148,5491589,2775688,2715900,13.73,11.24,16.28,170063
2008,Zambia,769096,318660,450436,5653638,2859311,2794328,13.6,11.14,16.12,201493
2009,Zambia,784567,325675,458892,5818738,2944616,2874122,13.48,11.06,15.97,229205
,,,,,,,,,,,
,,,,,,,,,,,
1985,Zimbabwe,55174,25328,29846,3833717,1909797,1923920,1.44,1.33,1.55,0
1986,Zimbabwe,88071,39702,48369,4005925,1995919,2010007,2.2,1.99,2.41,0
1987,Zimbabwe,139215,61791,77424,4184148,2084982,2099166,3.33,2.96,3.69,0
1988,Zimbabwe,216182,94800,121382,4363181,2174109,2189072,4.95,4.36,5.54,0
1989,Zimbabwe,326743,141886,184857,4537253,2260123,2277130,7.2,6.28,8.12,0
1990,Zimbabwe,475572,205142,270430,4705470,2342620,2362851,10.11,8.76,11.45,0
1991,Zimbabwe,659237,283060,376177,4866447,2420960,2445486,13.55,11.69,15.38,0
1992,Zimbabwe,862611,369133,493478,5019195,2494708,2524487,17.19,14.8,19.55,0
1993,Zimbabwe,1061268,453261,608007,5164679,2564662,2600017,20.55,17.67,23.38,0
1994,Zimbabwe,1233792,526077,707715,5305034,2632238,2672795,23.26,19.99,26.48,0
1995,Zimbabwe,1367238,581754,785485,5440858,2697846,2743012,25.13,21.56,28.64,0
1996,Zimbabwe,1459139,619069,840070,5573688,2762362,2811326,26.18,22.41,29.88,0
1997,Zimbabwe,1513129,639586,873543,5703239,2825763,2877476,26.53,22.63,30.36,0
1998,Zimbabwe,1533104,644995,888110,5820572,2883335,2937237,26.34,22.37,30.24,0
1999,Zimbabwe,1522781,636972,885808,5916871,2930437,2986434,25.74,21.74,29.66,0
2000,Zimbabwe,1487396,617985,869412,5990728,2966467,3024261,24.83,20.83,28.75,0
2001,Zimbabwe,1432919,590832,842087,6044558,2992680,3051878,23.71,19.74,27.59,0
2002,Zimbabwe,1364890,558113,806777,6080722,3010229,3070493,22.45,18.54,26.28,0
2003,Zimbabwe,1289636,522812,766824,6109398,3024616,3084782,21.11,17.29,24.86,0
2004,Zimbabwe,1213141,487676,725466,6142606,3042102,3100504,19.75,16.03,23.4,11000
2005,Zimbabwe,1139366,454438,684928,6182637,3063544,3119093,18.43,14.83,21.96,25900
2006,Zimbabwe,1070955,424167,646788,6230334,3089024,3141310,17.19,13.73,20.59,56039
2007,Zimbabwe,1009794,397600,612194,6283553,3117275,3166278,16.07,12.75,19.33,80302
2008,Zimbabwe,959214,376051,583164,6360804,3158190,3202614,15.08,11.91,18.21,134866
2009,Zimbabwe,924948,361824,563124,6480916,3221715,3259201,14.27,11.23,17.28,197068
