"","male","female"
"DRC",0.127749576988156,0.122241086587436
"Ethiopia",0.332621082621083,0.329526616319764
"Kenya",0.336431226765799,0.469197261978843
"Lesotho",0.391221374045802,0.549056603773585
"Malawi",0.486033519553073,0.653183023872679
"Rwanda",0.27958833619211,0.346880366342301
"Swaziland",0.334883720930233,0.516355140186916
"WA",0.0980599181734196,0.0914269438906295
"Zambia",0.250628140703518,0.431803896920176
"Zimbabwe",0.365617433414044,0.548601398601399
